/Vout (wP2=3e-05) X,/Vout (wP2=3e-05) Y,/Vout (wP2=3.5e-05) X,/Vout (wP2=3.5e-05) Y,/Vout (wP2=4e-05) X,/Vout (wP2=4e-05) Y,/Vout (wP2=4.5e-05) X,/Vout (wP2=4.5e-05) Y,/Vout (wP2=5e-05) X,/Vout (wP2=5e-05) Y,/Vout (wP2=5.5e-05) X,/Vout (wP2=5.5e-05) Y,/Vout (wP2=6e-05) X,/Vout (wP2=6e-05) Y,/Vin (wP2=3e-05) X,/Vin (wP2=3e-05) Y,/Vin (wP2=3.5e-05) X,/Vin (wP2=3.5e-05) Y,/Vin (wP2=4e-05) X,/Vin (wP2=4e-05) Y,/Vin (wP2=4.5e-05) X,/Vin (wP2=4.5e-05) Y,/Vin (wP2=5e-05) X,/Vin (wP2=5e-05) Y,/Vin (wP2=5.5e-05) X,/Vin (wP2=5.5e-05) Y,/Vin (wP2=6e-05) X,/Vin (wP2=6e-05) Y,/Vin_ (wP2=3e-05) X,/Vin_ (wP2=3e-05) Y,/Vin_ (wP2=3.5e-05) X,/Vin_ (wP2=3.5e-05) Y,/Vin_ (wP2=4e-05) X,/Vin_ (wP2=4e-05) Y,/Vin_ (wP2=4.5e-05) X,/Vin_ (wP2=4.5e-05) Y,/Vin_ (wP2=5e-05) X,/Vin_ (wP2=5e-05) Y,/Vin_ (wP2=5.5e-05) X,/Vin_ (wP2=5.5e-05) Y,/Vin_ (wP2=6e-05) X,/Vin_ (wP2=6e-05) Y
9.17214833973e-10,4.967468338473308,9.121912311859999e-10,4.971990609684443,9.487585548219998e-10,4.976425874965474,9.368292337419999e-10,4.978749488616117,9.123892961859999e-10,4.9803234572323,9.357946225019999e-10,4.982521236723263,9.490432122979999e-10,4.984160730588579,9.17214833973e-10,1.1,9.121912311859999e-10,1.1,9.487585548219998e-10,1.1,9.368292337419999e-10,1.1,9.123892961859999e-10,1.1,9.357946225019999e-10,1.1,9.490432122979999e-10,1.1,9.17214833973e-10,0,9.121912311859999e-10,0,9.487585548219998e-10,0,9.368292337419999e-10,0,9.123892961859999e-10,0,9.357946225019999e-10,0,9.490432122979999e-10,0
9.622148339729999e-10,4.969012813683578,9.57191231186e-10,4.973313526619066,9.74379277411e-10,4.977033073908388,9.68414616871e-10,4.979431301663641,9.57389296186e-10,4.981244133966196,9.67897311251e-10,4.983091349806488,9.745216061489999e-10,4.984565246301623,9.622148339729999e-10,1.1,9.57191231186e-10,1.1,9.74379277411e-10,1.1,9.68414616871e-10,1.1,9.57389296186e-10,1.1,9.67897311251e-10,1.1,9.745216061489999e-10,1.1,9.622148339729999e-10,0,9.57191231186e-10,0,9.74379277411e-10,0,9.68414616871e-10,0,9.57389296186e-10,0,9.67897311251e-10,0,9.745216061489999e-10,0
9.99999999999e-10,4.970164849132534,9.99999999999e-10,4.974428691427649,9.99999999999e-10,4.977599617271657,9.99999999999e-10,4.980057133748409,9.99999999999e-10,4.982017618707417,9.99999999999e-10,4.983613741347654,9.99999999999e-10,4.984942652021849,9.99999999999e-10,1.1,9.99999999999e-10,1.1,9.99999999999e-10,1.1,9.99999999999e-10,1.1,9.99999999999e-10,1.1,9.99999999999e-10,1.1,9.99999999999e-10,1.1,9.99999999999e-10,0,9.99999999999e-10,0,9.99999999999e-10,0,9.99999999999e-10,0,9.99999999999e-10,0,9.99999999999e-10,0,9.99999999999e-10,0
1.000624999999e-09,4.970208617037016,1.000624999999e-09,4.974468756497151,1.000624999999e-09,4.977636811567151,1.000624999999e-09,4.980091968171146,1.000624999999e-09,4.982050468278277,1.000624999999e-09,4.983644916708949,1.000624999999e-09,4.984972366117249,1.000624999999e-09,1.065625000000007,1.000624999999e-09,1.065625000000007,1.000624999999e-09,1.065625000000007,1.000624999999e-09,1.065625000000007,1.000624999999e-09,1.065625000000007,1.000624999999e-09,1.065625000000007,1.000624999999e-09,1.065625000000007,1.000624999999e-09,0.03437499999999349,1.000624999999e-09,0.03437499999999349,1.000624999999e-09,0.03437499999999349,1.000624999999e-09,0.03437499999999349,1.000624999999e-09,0.03437499999999349,1.000624999999e-09,0.03437499999999349,1.000624999999e-09,0.03437499999999349
1.001440059162e-09,4.970261332861098,1.001440059161e-09,4.974516911632213,1.001390933894e-09,4.977678619970268,1.00144005916e-09,4.980133835929239,1.00144005916e-09,4.982089996887124,1.00144005916e-09,4.983682500624613,1.001389530103e-09,4.985005918895359,1.001440059162e-09,1.020796746041407,1.001440059161e-09,1.020796746101802,1.001390933894e-09,1.02349863580567,1.00144005916e-09,1.020796746152403,1.00144005916e-09,1.020796746158159,1.00144005916e-09,1.020796746152927,1.001389530103e-09,1.023575844299831,1.001440059162e-09,0.07920325395859287,1.001440059161e-09,0.07920325389819835,1.001390933894e-09,0.07650136419432989,1.00144005916e-09,0.07920325384759661,1.00144005916e-09,0.0792032538418415,1.00144005916e-09,0.07920325384707343,1.001389530103e-09,0.07642415570016872
1.001979801884e-09,4.970298903133045,1.001978414224e-09,4.974550940051982,1.001927538622e-09,4.97770953386097,1.001981773201e-09,4.980163317696785,1.001978420025e-09,4.982117518166267,1.001981563666e-09,4.983708726990037,1.001925940505e-09,4.985030338088262,1.001979801884e-09,0.991110896331345,1.001978414224e-09,0.9911872176533032,1.001927538622e-09,0.9939853757611314,1.001981773201e-09,0.9910024739326815,1.001978420025e-09,0.9911868986076379,1.001981563666e-09,0.9910139983680833,1.001925940505e-09,0.9940732722114034,1.001979801884e-09,0.1088891036686552,1.001978414224e-09,0.1088127823466969,1.001927538622e-09,0.1060146242388687,1.001981773201e-09,0.1089975260673186,1.001978420025e-09,0.1088131013923622,1.001981563666e-09,0.1089860016319167,1.001925940505e-09,0.1059267277885967
1.002481873152e-09,4.970338843011146,1.00248011164e-09,4.974587148077215,1.00242485719e-09,4.977742110844824,1.002484367552e-09,4.980194451055834,1.002480108813e-09,4.982146629210671,1.002484096175e-09,4.983736295624048,1.002423086906e-09,4.985055809878156,1.002481873152e-09,0.9634969766306118,1.00248011164e-09,0.9635938597821334,1.00242485719e-09,0.9666328545045132,1.002484367552e-09,0.9633597845936562,1.002480108813e-09,0.9635940152629687,1.002484096175e-09,0.963374710334632,1.002423086906e-09,0.9667302201170338,1.002481873152e-09,0.1365030233693882,1.00248011164e-09,0.1364061402178667,1.00242485719e-09,0.1333671454954869,1.002484367552e-09,0.1366402154063439,1.002480108813e-09,0.1364059847370314,1.002484096175e-09,0.1366252896653681,1.002423086906e-09,0.1332697798829663
1.003486015686e-09,4.970432832375723,1.003483506472e-09,4.974672504980918,1.003419494327e-09,4.977819391823882,1.003489556256e-09,4.980267763106915,1.003483486389e-09,4.982215130707242,1.003489161195e-09,4.983801025309117,1.00341737971e-09,4.985115918789017,1.003486015686e-09,0.9082691372291458,1.003483506472e-09,0.9084071440397938,1.003419494327e-09,0.9119278119912767,1.003489556256e-09,0.9080744059156056,1.003483486389e-09,0.9084082485736305,1.003489161195e-09,0.9080961342677293,1.00341737971e-09,0.9120441159282946,1.003486015686e-09,0.1917308627708543,1.003483506472e-09,0.1915928559602063,1.003419494327e-09,0.1880721880087234,1.003489556256e-09,0.1919255940843945,1.003483486389e-09,0.1915917514263697,1.003489161195e-09,0.1919038657322708,1.00341737971e-09,0.1879558840717055
1.004707341491e-09,4.970526456975559,1.004705364269e-09,4.974756485762861,1.004664549071e-09,4.97789881707642,1.004709964149e-09,4.980337394293564,1.004705299107e-09,4.982279754640348,1.004709659487e-09,4.983860886109413,1.004663171573e-09,4.985174822571125,1.004707341491e-09,0.8410962179660824,1.004705364269e-09,0.8412049651657931,1.004664549071e-09,0.8434498010533645,1.004709964149e-09,0.8409519717931302,1.004705299107e-09,0.8412085490698102,1.004709659487e-09,0.8409687281934486,1.004663171573e-09,0.8435255634603833,1.004707341491e-09,0.2589037820339177,1.004705364269e-09,0.2587950348342069,1.004664549071e-09,0.2565501989466356,1.004709964149e-09,0.25904802820687,1.004705299107e-09,0.2587914509301898,1.004709659487e-09,0.2590312718065515,1.004663171573e-09,0.2564744365396167
1.00563813347e-09,4.970494752680205,1.005636556855e-09,4.974722419100642,1.005606781445e-09,4.977867199965108,1.005640132312e-09,4.980299954479355,1.005636478676e-09,4.98224210501971,1.005639894457e-09,4.98382224286553,1.00560577495e-09,4.98513992585859,1.00563813347e-09,0.7899026591322308,1.005636556855e-09,0.7899893729684524,1.005606781445e-09,0.7916270205148532,1.005640132312e-09,0.789792722800911,1.005636478676e-09,0.7899936727689856,1.005639894457e-09,0.789805804826772,1.00560577495e-09,0.7916823777189683,1.00563813347e-09,0.3100973408677693,1.005636556855e-09,0.3100106270315476,1.005606781445e-09,0.3083729794851468,1.005640132312e-09,0.3102072771990891,1.005636478676e-09,0.3100063272310145,1.005639894457e-09,0.3101941951732281,1.00560577495e-09,0.3083176222810318
1.00616613544e-09,4.97037763278497,1.006163436555e-09,4.974609144950454,1.006143004652e-09,4.977759337487962,1.006164780877e-09,4.980192725167468,1.006161587877e-09,4.982138179522294,1.006163575199e-09,4.983720717340494,1.006138974794e-09,4.98504346140201,1.00616613544e-09,0.7608625507846369,1.006163436555e-09,0.7610109894420909,1.006143004652e-09,0.7621347441367167,1.006164780877e-09,0.7609370517573258,1.006161587877e-09,0.7611126667583936,1.006163575199e-09,0.7610033640437162,1.006138974794e-09,0.7623563863220839,1.00616613544e-09,0.3391374492153631,1.006163436555e-09,0.3389890105579092,1.006143004652e-09,0.3378652558632834,1.006164780877e-09,0.3390629482426742,1.006161587877e-09,0.3388873332416065,1.006163575199e-09,0.3389966359562839,1.006138974794e-09,0.3376436136779162
1.006702281373e-09,4.97008331983443,1.006699213667e-09,4.974327337761619,1.006687403113e-09,4.977488377453629,1.006698236188e-09,4.979931474867114,1.006695558634e-09,4.981886139402029,1.006695911141e-09,4.983476753266838,1.006681150447e-09,4.984807761213324,1.006702281373e-09,0.7313745244475185,1.006699213667e-09,0.731543248283438,1.006687403113e-09,0.7321928287848953,1.006698236188e-09,0.7315970096387776,1.006695558634e-09,0.7317442751041821,1.006695911141e-09,0.7317248872257853,1.006681150447e-09,0.7325367253960683,1.006702281373e-09,0.3686254755524817,1.006699213667e-09,0.3684567517165621,1.006687403113e-09,0.3678071712151048,1.006698236188e-09,0.3684029903612225,1.006695558634e-09,0.3682557248958181,1.006695911141e-09,0.3682751127742147,1.006681150447e-09,0.3674632746039318
1.007112513256e-09,4.969635155180422,1.007109006421e-09,4.973899865321924,1.007100690111e-09,4.977078230227439,1.007106234252e-09,4.97953824171912,1.007103648238e-09,4.981507590708959,1.007103041102e-09,4.983111375154948,1.007092999351e-09,4.984454244145915,1.007112513256e-09,0.7088117708732297,1.007109006421e-09,0.7090046468072773,1.007100690111e-09,0.7094620438563256,1.007106234252e-09,0.7091571161347863,1.007103648238e-09,0.7092993468624995,1.007103041102e-09,0.7093327393593478,1.007092999351e-09,0.7098850356720801,1.007112513256e-09,0.3911882291267704,1.007109006421e-09,0.3909953531927228,1.007100690111e-09,0.3905379561436745,1.007106234252e-09,0.3908428838652138,1.007103648238e-09,0.3907006531375006,1.007103041102e-09,0.3906672606406523,1.007092999351e-09,0.39011496432792
1.007413153658e-09,4.969101406855047,1.007409241269e-09,4.973391578920825,1.007402131943e-09,4.976591950696642,1.007405356892e-09,4.979071800501941,1.007402717302e-09,4.981058993561116,1.007401620185e-09,4.98267867093864,1.007393526699e-09,4.9840363936491,1.007413153658e-09,0.692276548763167,1.007409241269e-09,0.6924917301815183,1.007402131943e-09,0.6928827431002034,1.007405356892e-09,0.6927053708862793,1.007402717302e-09,0.692850548377284,1.007401620185e-09,0.6929108897742076,1.007393526699e-09,0.6933560315455356,1.007413153658e-09,0.4077234512368331,1.007409241269e-09,0.4075082698184818,1.007402131943e-09,0.4071172568997967,1.007405356892e-09,0.4072946291137208,1.007402717302e-09,0.407149451622716,1.007401620185e-09,0.4070891102257925,1.007393526699e-09,0.4066439684544644
1.007659104009e-09,4.96846741209408,1.007654850328e-09,4.972788217135499,1.007648191879e-09,4.976015631788078,1.00765020828e-09,4.978518556073865,1.007647479296e-09,4.980527134198552,1.007646087996e-09,4.982165741887496,1.007638931771e-09,4.983541715599723,1.007659104009e-09,0.6787492794650336,1.007654850328e-09,0.678983231928459,1.007648191879e-09,0.6793494466161372,1.00765020828e-09,0.6792385445616307,1.007647479296e-09,0.6793886387082491,1.007646087996e-09,0.6794651602105087,1.007638931771e-09,0.6798587525421533,1.007659104009e-09,0.4212507205349665,1.007654850328e-09,0.4210167680715411,1.007648191879e-09,0.4206505533838629,1.00765020828e-09,0.4207614554383694,1.007647479296e-09,0.4206113612917511,1.007646087996e-09,0.4205348397894914,1.007638931771e-09,0.4201412474578467
1.007875384472e-09,4.967703150676785,1.007870757713e-09,4.972061379443082,1.00786411804e-09,4.975322448006453,1.007865467139e-09,4.977852569437188,1.007862597029e-09,4.979887160303095,1.007860991325e-09,4.981548620007003,1.007854210553e-09,4.982947383897095,1.007875384472e-09,0.6668538540360158,1.007870757713e-09,0.667108325758633,1.00786411804e-09,0.6674735077640108,1.007865467139e-09,0.667399307342148,1.007862597029e-09,0.667557163369076,1.007860991325e-09,0.6676454770722198,1.007854210553e-09,0.6680184195514995,1.007875384472e-09,0.4331461459639843,1.007870757713e-09,0.4328916742413671,1.00786411804e-09,0.4325264922359892,1.007865467139e-09,0.432600692657852,1.007862597029e-09,0.4324428366309241,1.007860991325e-09,0.4323545229277803,1.007854210553e-09,0.4319815804485005
1.00807637318e-09,4.966761760100134,1.008071268725e-09,4.971166945575016,1.008064407696e-09,4.974470485696076,1.008065271475e-09,4.977033947829394,1.008062191344e-09,4.979100933914569,1.008060373098e-09,4.980790694394654,1.008053674328e-09,4.982218211943247,1.00807637318e-09,0.6557994750604926,1.008071268725e-09,0.65608022011124,1.008064407696e-09,0.6564575766943215,1.008065271475e-09,0.6564100688467642,1.008062191344e-09,0.6565794760737294,1.008060373098e-09,0.6566794795873712,1.008053674328e-09,0.657047911906507,1.00807637318e-09,0.4442005249395075,1.008071268725e-09,0.4439197798887601,1.008064407696e-09,0.4435424233056786,1.008065271475e-09,0.4435899311532359,1.008062191344e-09,0.4434205239262707,1.008060373098e-09,0.4433205204126289,1.008053674328e-09,0.4429520880934931
1.008271193137e-09,4.965576412317151,1.008265455549e-09,4.970042123347993,1.008258187172e-09,4.973400345502452,1.008258579944e-09,4.976006159577072,1.008255199935e-09,4.978114502644863,1.008253122845e-09,4.979840254675374,1.00824632283e-09,4.981304611497022,1.008271193137e-09,0.645084377416326,1.008265455549e-09,0.6453999447667779,1.008258187172e-09,0.6457997055386973,1.008258579944e-09,0.6457781030424502,1.008255199935e-09,0.6459640035396622,1.008253122845e-09,0.6460782434752897,1.00824632283e-09,0.6464522443163487,1.008271193137e-09,0.4549156225836742,1.008265455549e-09,0.4546000552332222,1.008258187172e-09,0.4542002944613028,1.008258579944e-09,0.4542218969575499,1.008255199935e-09,0.4540359964603379,1.008253122845e-09,0.4539217565247103,1.00824632283e-09,0.4535477556836514
1.008465782673e-09,4.964057241979661,1.008459206748e-09,4.968602743055353,1.008451321111e-09,4.972032874758337,1.008451189224e-09,4.974693790886519,1.008447390263e-09,4.976856074767349,1.008444973379e-09,4.978628604358233,1.008437899747e-09,4.980141053135493,1.008465782673e-09,0.6343819529575598,1.008459206748e-09,0.6347436288283128,1.008451321111e-09,0.6351773388890445,1.008451189224e-09,0.6351845926665004,1.008447390263e-09,0.635393535487215,1.008444973379e-09,0.6355264641506916,1.008437899747e-09,0.6359155138651169,1.008465782673e-09,0.4656180470424403,1.008459206748e-09,0.4652563711716872,1.008451321111e-09,0.4648226611109557,1.008451189224e-09,0.4648154073334997,1.008447390263e-09,0.4646064645127851,1.008444973379e-09,0.4644735358493085,1.008437899747e-09,0.4640844861348831
1.008664885524e-09,4.962077405635359,1.008657199078e-09,4.966730451950363,1.008648430181e-09,4.970257254816739,1.008647662321e-09,4.972991476170804,1.008643281399e-09,4.975225640741391,1.008640401704e-09,4.977060285152421,1.008632857243e-09,4.978636791741869,1.008664885524e-09,0.6234312961759003,1.008657199078e-09,0.6238540506878514,1.008648430181e-09,0.6243363400077089,1.008647662321e-09,0.6243785723074654,1.008643281399e-09,0.6246195230479235,1.008640401704e-09,0.6247779062475547,1.008632857243e-09,0.6251928516060817,1.008664885524e-09,0.4765687038240998,1.008657199078e-09,0.4761459493121487,1.008648430181e-09,0.4756636599922913,1.008647662321e-09,0.4756214276925347,1.008643281399e-09,0.4753804769520766,1.008640401704e-09,0.4752220937524453,1.008632857243e-09,0.4748071483939184
1.008872548626e-09,4.959457731873343,1.008863383274e-09,4.964258926437561,1.008853384748e-09,4.967918460285825,1.008851786131e-09,4.970752496573231,1.008846595001e-09,4.973084489163074,1.008843067957e-09,4.975003393921405,1.008834814891e-09,4.976666811211345,1.008872548626e-09,0.6120098255248896,1.008863383274e-09,0.6125139198842229,1.008853384748e-09,0.6130638388296348,1.008851786131e-09,0.6131517627709597,1.008846595001e-09,0.6134372748958135,1.008843067957e-09,0.6136312623603977,1.008834814891e-09,0.6140851809571121,1.008872548626e-09,0.4879901744751104,1.008863383274e-09,0.4874860801157773,1.008853384748e-09,0.4869361611703654,1.008851786131e-09,0.4868482372290404,1.008846595001e-09,0.4865627251041866,1.008843067957e-09,0.4863687376396024,1.008834814891e-09,0.485914819042888
